     Time[s]      Injection_Rate[m^3/s]
  0.17377691E+08  0.53428220E-07
  0.17455969E+08  0.53420953E-07
  0.17534247E+08  0.53414357E-07
  0.17612524E+08  0.53407107E-07
  0.17690802E+08  0.53399203E-07
  0.17769080E+08  0.53390645E-07
  0.17847358E+08  0.53381433E-07
  0.17925636E+08  0.53371567E-07
  0.18003914E+08  0.53361047E-07
  0.18082192E+08  0.53349873E-07
  0.18160470E+08  0.53338045E-07
  0.18238748E+08  0.53324888E-07
  0.18317025E+08  0.53309903E-07
  0.18395303E+08  0.53295662E-07
  0.18473581E+08  0.53282164E-07
  0.18551859E+08  0.53269409E-07
  0.18630137E+08  0.53257398E-07
  0.18708415E+08  0.53246129E-07
  0.18786693E+08  0.53235604E-07
  0.18864971E+08  0.53225823E-07
  0.18943249E+08  0.53216784E-07
  0.19021526E+08  0.53208500E-07
  0.19099804E+08  0.53202186E-07
  0.19178082E+08  0.53196569E-07
  0.19256360E+08  0.53190449E-07
  0.19334638E+08  0.53183825E-07
  0.19412916E+08  0.53176698E-07
  0.19491194E+08  0.53169067E-07
  0.19569472E+08  0.53160933E-07
  0.19647750E+08  0.53152296E-07
  0.19726027E+08  0.53143155E-07
  0.19804305E+08  0.53133511E-07
  0.19882583E+08  0.53122792E-07
  0.19960861E+08  0.53110395E-07
  0.20039139E+08  0.53098557E-07
  0.20117417E+08  0.53087294E-07
  0.20195695E+08  0.53076605E-07
  0.20273973E+08  0.53066491E-07
  0.20352250E+08  0.53056952E-07
  0.20430528E+08  0.53047988E-07
  0.20508806E+08  0.53039599E-07
  0.20587084E+08  0.53031784E-07
  0.20665362E+08  0.53024544E-07
  0.20743640E+08  0.53018973E-07
  0.20821918E+08  0.53014115E-07
  0.20900196E+08  0.53008856E-07
  0.20978474E+08  0.53003196E-07
  0.21056751E+08  0.52997136E-07
  0.21135029E+08  0.52990675E-07
  0.21213307E+08  0.52983813E-07
  0.21291585E+08  0.52976551E-07
  0.21369863E+08  0.52968888E-07
  0.21448141E+08  0.52960824E-07
  0.21526419E+08  0.52951876E-07
  0.21604697E+08  0.52941438E-07
  0.21682975E+08  0.52931361E-07
  0.21761252E+08  0.52921742E-07
  0.21839530E+08  0.52912583E-07
  0.21917808E+08  0.52903882E-07
  0.21996086E+08  0.52895640E-07
  0.22074364E+08  0.52887858E-07
  0.22152642E+08  0.52880535E-07
  0.22230920E+08  0.52873672E-07
  0.22309198E+08  0.52867267E-07
  0.22387476E+08  0.52862293E-07
  0.22465753E+08  0.52858043E-07
  0.22544031E+08  0.52853465E-07
  0.22622309E+08  0.52848560E-07
  0.22700587E+08  0.52843328E-07
  0.22778865E+08  0.52837769E-07
  0.22857143E+08  0.52831883E-07
  0.22935421E+08  0.52825669E-07
  0.23013699E+08  0.52819128E-07
  0.23091977E+08  0.52812260E-07
  0.23170254E+08  0.52804657E-07
  0.23248532E+08  0.52795710E-07
  0.23326810E+08  0.52786979E-07
  0.23405088E+08  0.52778623E-07
  0.23483366E+08  0.52770641E-07
  0.23561644E+08  0.52763036E-07
  0.23639922E+08  0.52755805E-07
  0.23718200E+08  0.52748949E-07
  0.23796477E+08  0.52742468E-07
  0.23874755E+08  0.52736363E-07
  0.23953033E+08  0.52730632E-07
  0.24031311E+08  0.52726144E-07
  0.24109589E+08  0.52722386E-07
  0.24187867E+08  0.52718355E-07
  0.24266145E+08  0.52714052E-07
  0.24344423E+08  0.52709476E-07
  0.24422701E+08  0.52704627E-07
  0.24500978E+08  0.52699506E-07
  0.24579256E+08  0.52694112E-07
  0.24657534E+08  0.52688445E-07
  0.24735812E+08  0.52682505E-07
  0.24814090E+08  0.52675952E-07
  0.24892368E+08  0.52668173E-07
  0.24970646E+08  0.52660497E-07
  0.25048924E+08  0.52653135E-07
  0.25127202E+08  0.52646085E-07
  0.25205479E+08  0.52639347E-07
  0.25283757E+08  0.52632923E-07
  0.25362035E+08  0.52626811E-07
  0.25440313E+08  0.52621013E-07
  0.25518591E+08  0.52615529E-07
  0.25596869E+08  0.52610357E-07
  0.25675147E+08  0.52606273E-07
  0.25753425E+08  0.52602923E-07
  0.25831703E+08  0.52599342E-07
  0.25909980E+08  0.52595531E-07
  0.25988258E+08  0.52591488E-07
  0.26066536E+08  0.52587215E-07
  0.26144814E+08  0.52582710E-07
  0.26223092E+08  0.52577975E-07
  0.26301370E+08  0.52573009E-07
  0.26379648E+08  0.52567811E-07
  0.26457926E+08  0.52562100E-07
  0.26536204E+08  0.52555260E-07
  0.26614481E+08  0.52548437E-07
  0.26692759E+08  0.52541878E-07
  0.26771037E+08  0.52535583E-07
  0.26849315E+08  0.52529554E-07
  0.26927593E+08  0.52523790E-07
  0.27005871E+08  0.52518290E-07
  0.27084149E+08  0.52513055E-07
  0.27162427E+08  0.52508085E-07
  0.27240705E+08  0.52503380E-07
  0.27318982E+08  0.52499633E-07
  0.27397260E+08  0.52496623E-07
  0.27475538E+08  0.52493415E-07
  0.27553816E+08  0.52490009E-07
  0.27632094E+08  0.52486404E-07
  0.27710372E+08  0.52482601E-07
  0.27788650E+08  0.52478600E-07
  0.27866928E+08  0.52474400E-07
  0.27945205E+08  0.52470002E-07
  0.28023483E+08  0.52465406E-07
  0.28101761E+08  0.52460381E-07
  0.28180039E+08  0.52454308E-07
  0.28258317E+08  0.52448181E-07
  0.28336595E+08  0.52442281E-07
  0.28414873E+08  0.52436609E-07
  0.28493151E+08  0.52431163E-07
  0.28571429E+08  0.52425945E-07
  0.28649706E+08  0.52420954E-07
  0.28727984E+08  0.52416190E-07
  0.28806262E+08  0.52411655E-07
  0.28884540E+08  0.52407347E-07
  0.28962818E+08  0.52403888E-07
  0.29041096E+08  0.52401168E-07
  0.29119374E+08  0.52398275E-07
  0.29197652E+08  0.52395210E-07
  0.29275930E+08  0.52391973E-07
  0.29354207E+08  0.52388564E-07
  0.29432485E+08  0.52384983E-07
  0.29510763E+08  0.52381229E-07
  0.29589041E+08  0.52377303E-07
  0.29667319E+08  0.52373205E-07
  0.29745597E+08  0.52368751E-07
  0.29823875E+08  0.52363318E-07
  0.29902153E+08  0.52357773E-07
  0.29980431E+08  0.52352426E-07
  0.30058708E+08  0.52347275E-07
  0.30136986E+08  0.52342321E-07
  0.30215264E+08  0.52337565E-07
  0.30293542E+08  0.52333006E-07
  0.30371820E+08  0.52328644E-07
  0.30450098E+08  0.52324479E-07
  0.30528376E+08  0.52320511E-07
  0.30606654E+08  0.52317297E-07
  0.30684932E+08  0.52314822E-07
  0.30763209E+08  0.52312196E-07
  0.30841487E+08  0.52309419E-07
  0.30919765E+08  0.52306491E-07
  0.30998043E+08  0.52303412E-07
  0.31076321E+08  0.52300182E-07
  0.31154599E+08  0.52296801E-07
  0.31232877E+08  0.52293270E-07
  0.31311155E+08  0.52289587E-07
  0.31389432E+08  0.52285610E-07
  0.31467710E+08  0.52280716E-07
  0.31545988E+08  0.52275661E-07
  0.31624266E+08  0.52270778E-07
  0.31702544E+08  0.52266069E-07
  0.31780822E+08  0.52261531E-07
  0.31859100E+08  0.52257167E-07
  0.31937378E+08  0.52252975E-07
  0.32015656E+08  0.52248956E-07
  0.32093933E+08  0.52245110E-07
  0.32172211E+08  0.52241437E-07
  0.32250489E+08  0.52238436E-07
  0.32328767E+08  0.52236174E-07
  0.32407045E+08  0.52233779E-07
  0.32485323E+08  0.52231251E-07
  0.32563601E+08  0.52228589E-07
  0.32641879E+08  0.52225793E-07
  0.32720157E+08  0.52222864E-07
  0.32798434E+08  0.52219801E-07
  0.32876712E+08  0.52216605E-07
  0.32954990E+08  0.52213275E-07
  0.33033268E+08  0.52209707E-07
  0.33111546E+08  0.52205274E-07
  0.33189824E+08  0.52200639E-07
  0.33268102E+08  0.52196156E-07
  0.33346380E+08  0.52191826E-07
  0.33424658E+08  0.52187648E-07
  0.33502935E+08  0.52183622E-07
  0.33581213E+08  0.52179750E-07
  0.33659491E+08  0.52176030E-07
  0.33737769E+08  0.52172462E-07
  0.33816047E+08  0.52169047E-07
  0.33894325E+08  0.52166229E-07
  0.33972603E+08  0.52164152E-07
  0.34050881E+08  0.52161955E-07
  0.34129159E+08  0.52159639E-07
